1013570	DE	25
1013570	PL	7
1047341	AU	2
1047341	CN	2
1047341	DE	1
1047341	GB	8
1047341	JP	25
1047341	NO	1
1047341	PR	10
1047341	SE	4
1047341	US	6
1047343	AU	5
1047343	MX	12
1047343	NO	1
1047343	PR	9
1047343	SE	9
1047343	US	99
1047343	VI	2
1047536	AT	8
1047536	BE	1
1047536	BG	1
1047536	CA	3
1047536	CR	722
1047536	CZ	6
1047536	DE	278
1047536	EE	12
1047536	FR	13
1047536	GB	5
1047536	GE	1
1047536	HR	2
1047536	HU	11
1047536	IT	3
1047536	LU	3
1047536	MX	103
1047536	NL	38
1047536	NO	19
1047536	PL	4
1047536	PT	1
1047536	RU	1
1047536	SE	15
1047536	SK	1
1047536	US	276
1048809	AT	17
1048809	BE	2
1048809	CA	14
1048809	CH	11
1048809	CZ	1
1048809	DE	325
1048809	EE	7
1048809	ES	1
1048809	FI	33
1048809	FR	22
1048809	GB	8530
1048809	HR	1
1048809	IE	31
1048809	IM	1
1048809	IT	5
1048809	LU	2
1048809	NL	24
1048809	NO	140
1048809	PL	2
1048809	PT	1
1048809	SE	676
1048809	SI	2
1048809	US	13
1095716	AU	10
1095716	BE	10
1095716	CR	1
1095716	CX	1
1095716	FI	6
1095716	GB	3
1095716	HN	1
1095716	JP	1
1095716	SE	3
1095716	US	20
1095721	AU	17
1095721	CN	1
1095721	ID	4
1095721	NL	1
1095721	PG	1
1095721	SE	1
1095721	TW	1
1095979	GB	1
1095979	SE	3
1095979	US	2
1114140	AU	230
1114140	NZ	1
1114246	AU	134
1114246	US	3
1122893	AT	5
1122893	BE	157
1122893	DE	9
1122893	EE	26
1122893	FI	66
1122893	FR	3
1122893	GB	4
1122893	JP	2
1122893	LU	5
1122893	NO	231
1122893	PL	12
1122893	SE	1607
1122917	BE	38
1122917	DE	7
1122917	EE	9
1122917	FI	12
1122917	NO	82
1122917	PL	8
1122917	SE	757
1152186	BE	3
1152186	JP	116
1155839	JP	3
1155839	PL	1
1170174	AU	3
1170174	DE	2
1170174	EC	1
1170174	GB	12
1170174	LU	1
1170174	NO	5
1170174	PL	8
1170174	SE	47
1170177	AU	43
1170177	DE	11
1170177	GB	16
1170177	NO	10
1170177	PL	5
1170177	SE	21
1170177	US	3
1171601	AU	1
1171601	PR	1
1171601	US	6
1178235	AU	50
1178235	NF	2
1178235	NZ	12
1193671	US	36
1195129	AU	19
1195129	CA	43
1195129	DE	26
1195129	FI	6
1195129	GB	362
1195129	IE	1
1195129	IM	6
1195129	IT	2
1195129	LU	6
1195129	NL	10
1195129	NO	133
1195129	NZ	6
1195129	PL	7
1195129	SE	325
1195129	US	63
1203278	AU	5
1203278	IT	1
1203289	AU	3
1207035	AU	122
1207035	JP	23
1207035	US	316
1211257		3
1211257	AT	1
1211257	BE	107
1211257	CH	2
1211257	DE	32
1211257	DK	7
1211257	EE	123
1211257	FI	68
1211257	GB	97
1211257	IE	8
1211257	IT	1
1211257	NL	30
1211257	NO	154
1211257	PL	63
1211257	SE	918
1211257	TW	3
1214678	BE	150
1214678	DE	5
1214678	EE	321
1214678	FI	175
1214678	GB	94
1214678	IE	6
1214678	LU	6
1214678	NL	38
1214678	NO	63
1214678	PL	81
1214678	SE	923
1214678	SK	1
1216881	BZ	1
1216881	CR	284
1216881	EC	4
1216881	GT	2
1216881	PA	1
1216917	GY	1
1216917	SR	2
1216917	US	1
1216929	BE	148
1216929	CH	4
1216929	SE	1
1216929	US	2
1217393	BE	4
1217393	GB	1
1224467	AU	7
1224467	BE	80
1224467	GB	40
1224467	NL	26
1224467	NO	5
1224467	NZ	1
1224467	PL	104
1224467	SE	17
1228026	CA	118
1228026	US	192
1228028	CA	13
1228028	US	45
1228029	CA	9
1228029	US	120
1228053	CA	9
1228053	US	207
1228056	US	1
1228061	AT	2
1228061	BE	10
1228061	CH	2
1228061	DE	5
1228061	DK	13
1228061	EE	83
1228061	FI	2
1228061	GB	4
1228061	NO	14
1228061	PL	3
1228061	SE	62
1237542	AT	4
1237542	CZ	1
1237542	DE	8
1237542	GB	386
1237542	GG	1
1237542	HU	2
1237542	LU	2
1237542	MA	1
1237542	NL	1
1237542	PL	20
1242974	US	4
1249659	AU	1
1249659	NZ	1
1249729	AT	3
1249729	CA	2
1249729	DE	4
1249729	DK	9
